attribute,weights
Fuzzy,"{'00041-10': Decimal('1'), '00021-09': Decimal('1'), '00021-08': Decimal('1'), '00044-09': Decimal('1'), '00077-08': Decimal('1'), '00015-01': Decimal('1'), '00077-06': Decimal('1'), '00054-10': Decimal('1'), '00029-10': Decimal('1'), '00077-12': Decimal('1'), '00068-08': Decimal('1'), '00061-11': Decimal('1'), '00047-03': Decimal('1'), '00066-01': Decimal('1'), '00070-05': Decimal('1'), '00022-03': Decimal('1'), '00070-08': Decimal('1'), '00053-07': Decimal('2'), '00074-01': Decimal('1'), '00057-12': Decimal('1'), '00032-10': Decimal('1'), '00077-02': Decimal('1'), '00004-03': Decimal('1'), '00043-10': Decimal('1'), '00042-02': Decimal('1'), '00069-03': Decimal('1'), '00042-06': Decimal('1'), '00075-04': Decimal('1'), '00018-10': Decimal('1'), '00071-01': Decimal('1'), '00007-04': Decimal('1'), '00037-08': Decimal('1'), '00026-03': Decimal('1'), '00062-05': Decimal('1'), '00066-08': Decimal('1'), '00046-12': Decimal('1'), '00020-01': Decimal('1'), '00045-09': Decimal('1'), '00073-12': Decimal('1'), '00020-09': Decimal('1'), '00055-06': Decimal('1'), '00058-02': Decimal('1'), '00076-04': Decimal('1'), '00006-08': Decimal('1'), '00034-08': Decimal('1'), '00065-07': Decimal('1'), '00002-03': Decimal('1'), '00007-12': Decimal('1'), '00024-11': Decimal('1')}"
Raw,"{'00044-04': Decimal('1'), '00066-12': Decimal('1'), '00048-09': Decimal('1'), '00023-09': Decimal('1'), '00068-10': Decimal('1'), '00015-04': Decimal('1'), '00074-11': Decimal('1'), '00018-11': Decimal('1'), '00019-02': Decimal('1'), '00055-02': Decimal('1'), '00030-12': Decimal('1'), '00037-07': Decimal('1'), '00062-08': Decimal('1'), '00033-08': Decimal('1'), '00045-02': Decimal('1'), '00008-11': Decimal('1'), '00042-11': Decimal('1'), '00065-10': Decimal('1'), '00070-05': Decimal('1'), '00068-01': Decimal('1'), '00063-10': Decimal('1'), '00051-08': Decimal('1'), '00024-07': Decimal('1'), '00050-10': Decimal('1'), '00053-04': Decimal('1'), '00055-05': Decimal('2'), '00076-05': Decimal('1'), '00004-03': Decimal('1'), '00040-04': Decimal('1'), '00001-12': Decimal('1'), '00047-10': Decimal('1'), '00021-01': Decimal('1'), '00024-11': Decimal('1'), '00063-03': Decimal('1')}"
Throaty,"{'00039-10': Decimal('1'), '00017-05': Decimal('1'), '00075-04': Decimal('1'), '00059-03': Decimal('1'), '00054-03': Decimal('1'), '00071-01': Decimal('1'), '00033-11': Decimal('1'), '00030-12': Decimal('1'), '00080-10': Decimal('1'), '00041-05': Decimal('1'), '00064-08': Decimal('1'), '00009-01': Decimal('1'), '00008-10': Decimal('1'), '00042-11': Decimal('1'), '00072-04': Decimal('1'), '00053-03': Decimal('2'), '00039-01': Decimal('1'), '00058-02': Decimal('1'), '00057-08': Decimal('1'), '00003-12': Decimal('1'), '00015-09': Decimal('1'), '00065-07': Decimal('1'), '00025-02': Decimal('1'), '00027-04': Decimal('1'), '00029-06': Decimal('1'), '00020-11': Decimal('1'), '00027-03': Decimal('1')}"
Saturated,"{'00023-09': Decimal('1'), '00044-08': Decimal('1'), '00021-08': Decimal('1'), '00046-09': Decimal('1'), '00056-12': Decimal('1'), '00053-12': Decimal('1'), '00055-02': Decimal('1'), '00009-07': Decimal('1'), '00054-10': Decimal('1'), '00077-12': Decimal('1'), '00033-03': Decimal('1'), '00005-05': Decimal('1'), '00079-11': Decimal('1'), '00041-08': Decimal('1'), '00024-02': Decimal('1'), '00048-12': Decimal('1'), '00046-11': Decimal('1'), '00066-08': Decimal('1'), '00021-12': Decimal('1'), '00009-03': Decimal('1'), '00009-02': Decimal('1'), '00042-11': Decimal('1'), '00044-12': Decimal('1'), '00045-06': Decimal('1'), '00049-08': Decimal('1'), '00020-05': Decimal('1'), '00014-03': Decimal('2'), '00019-11': Decimal('1'), '00039-02': Decimal('1'), '00035-04': Decimal('1'), '00056-01': Decimal('1'), '00076-04': Decimal('1'), '00058-05': Decimal('1'), '00034-06': Decimal('1'), '00057-07': Decimal('1'), '00061-07': Decimal('1'), '00061-02': Decimal('1'), '00047-10': Decimal('1'), '00008-01': Decimal('1'), '00007-12': Decimal('1'), '00020-10': Decimal('1'), '00024-11': Decimal('1')}"
Icepicky,"{'00042-12': Decimal('1'), '00044-06': Decimal('1'), '00070-07': Decimal('1'), '00026-08': Decimal('1'), '00014-03': Decimal('1'), '00054-06': Decimal('1'), '00034-03': Decimal('1'), '00015-01': Decimal('1'), '00033-06': Decimal('1'), '00008-04': Decimal('1'), '00031-06': Decimal('1'), '00074-10': Decimal('1'), '00040-08': Decimal('1'), '00001-03': Decimal('1'), '00062-10': Decimal('1'), '00006-10': Decimal('1')}"
Grotty,"{'00021-05': Decimal('1'), '00067-10': Decimal('1'), '00035-10': Decimal('1'), '00003-07': Decimal('1'), '00032-11': Decimal('1'), '00070-01': Decimal('1'), '00076-02': Decimal('1'), '00070-03': Decimal('1'), '00053-02': Decimal('1'), '00006-06': Decimal('1'), '00047-01': Decimal('1'), '00046-04': Decimal('1'), '00046-12': Decimal('1'), '00027-01': Decimal('1'), '00006-10': Decimal('1')}"
Tight,"{'00071-05': Decimal('1'), '00020-12': Decimal('1'), '00066-11': Decimal('1'), '00073-07': Decimal('1'), '00068-10': Decimal('1'), '00042-08': Decimal('1'), '00036-05': Decimal('1'), '00056-12': Decimal('1'), '00077-05': Decimal('1'), '00073-03': Decimal('1'), '00012-08': Decimal('1'), '00010-05': Decimal('1'), '00066-04': Decimal('1'), '00018-03': Decimal('1'), '00022-06': Decimal('1'), '00059-11': Decimal('1'), '00016-06': Decimal('1'), '00058-05': Decimal('1'), '00074-05': Decimal('1'), '00019-12': Decimal('1'), '00032-10': Decimal('1'), '00079-02': Decimal('1'), '00005-11': Decimal('1'), '00031-12': Decimal('1'), '00003-11': Decimal('1'), '00011-04': Decimal('1'), '00015-07': Decimal('1'), '00060-11': Decimal('1'), '00065-07': Decimal('1'), '00002-02': Decimal('1'), '00040-04': Decimal('1'), '00049-11': Decimal('1'), '00026-11': Decimal('1'), '00028-12': Decimal('1')}"
Aggressive,"{'00041-10': Decimal('1'), '00066-12': Decimal('1'), '00044-04': Decimal('1'), '00073-09': Decimal('1'), '00020-12': Decimal('1'), '00017-04': Decimal('1'), '00068-10': Decimal('1'), '00054-09': Decimal('1'), '00075-03': Decimal('1'), '00018-10': Decimal('1'), '00012-10': Decimal('1'), '00015-01': Decimal('1'), '00053-12': Decimal('1'), '00019-02': Decimal('1'), '00033-11': Decimal('1'), '00007-04': Decimal('1'), '00009-06': Decimal('1'), '00029-11': Decimal('1'), '00004-12': Decimal('1'), '00077-12': Decimal('1'), '00037-08': Decimal('1'), '00062-08': Decimal('1'), '00075-10': Decimal('1'), '00035-09': Decimal('1'), '00041-07': Decimal('1'), '00046-11': Decimal('1'), '00021-12': Decimal('1'), '00065-12': Decimal('1'), '00051-08': Decimal('1'), '00072-04': Decimal('1'), '00013-11': Decimal('1'), '00072-05': Decimal('1'), '00053-04': Decimal('1'), '00074-05': Decimal('1'), '00058-04': Decimal('1'), '00019-12': Decimal('1'), '00055-03': Decimal('1'), '00034-07': Decimal('2'), '00029-01': Decimal('1'), '00005-11': Decimal('1'), '00003-11': Decimal('1'), '00008-04': Decimal('1'), '00013-07': Decimal('1'), '00047-10': Decimal('1')}"
Thick,"{'00048-08': Decimal('1'), '00021-08': Decimal('1'), '00068-10': Decimal('1'), '00012-10': Decimal('1'), '00009-07': Decimal('1'), '00058-09': Decimal('1'), '00005-07': Decimal('1'), '00024-02': Decimal('1'), '00064-01': Decimal('1'), '00061-10': Decimal('1'), '00070-05': Decimal('1'), '00022-08': Decimal('1'), '00047-09': Decimal('1'), '00050-10': Decimal('1'), '00053-04': Decimal('1'), '00032-10': Decimal('1'), '00063-09': Decimal('1'), '00015-08': Decimal('1'), '00022-10': Decimal('1'), '00047-10': Decimal('1'), '00064-12': Decimal('1'), '00069-03': Decimal('1'), '00046-09': Decimal('1'), '00071-09': Decimal('1'), '00027-08': Decimal('1'), '00010-11': Decimal('1'), '00072-10': Decimal('1'), '00037-10': Decimal('1'), '00056-12': Decimal('1'), '00018-11': Decimal('1'), '00033-11': Decimal('1'), '00030-12': Decimal('1'), '00004-12': Decimal('1'), '00003-02': Decimal('2'), '00037-08': Decimal('1'), '00026-03': Decimal('1'), '00046-12': Decimal('1'), '00042-11': Decimal('1'), '00066-04': Decimal('1'), '00051-08': Decimal('1'), '00024-08': Decimal('1'), '00016-06': Decimal('1'), '00012-03': Decimal('1'), '00013-12': Decimal('1'), '00028-10': Decimal('1'), '00054-01': Decimal('1'), '00034-07': Decimal('1'), '00031-12': Decimal('1'), '00013-07': Decimal('1'), '00030-07': Decimal('1'), '00034-08': Decimal('1'), '00040-05': Decimal('1'), '00040-04': Decimal('1'), '00007-11': Decimal('1'), '00020-10': Decimal('1')}"
Pure,"{'00067-02': Decimal('1'), '00018-04': Decimal('1'), '00068-01': Decimal('1'), '00042-08': Decimal('1'), '00025-03': Decimal('1'), '00076-03': Decimal('1'), '00043-10': Decimal('1'), '00049-05': Decimal('1'), '00062-01': Decimal('1'), '00039-03': Decimal('1')}"
Chewy,"{'00042-02': Decimal('1'), '00046-06': Decimal('1'), '00025-07': Decimal('1'), '00038-05': Decimal('1'), '00011-10': Decimal('1'), '00055-08': Decimal('1'), '00013-12': Decimal('1'), '00076-05': Decimal('1'), '00079-07': Decimal('1'), '00028-10': Decimal('1'), '00036-06': Decimal('1'), '00030-04': Decimal('1'), '00011-06': Decimal('1'), '00016-08': Decimal('1'), '00046-11': Decimal('1'), '00048-01': Decimal('1'), '00023-03': Decimal('1'), '00002-11': Decimal('1'), '00001-10': Decimal('1')}"
Cutting,"{'00043-02': Decimal('1'), '00070-07': Decimal('1'), '00045-06': Decimal('1'), '00076-06': Decimal('1'), '00013-01': Decimal('1'), '00075-02': Decimal('1'), '00036-05': Decimal('1'), '00053-04': Decimal('1'), '00015-01': Decimal('1'), '00056-12': Decimal('1'), '00015-10': Decimal('1'), '00079-11': Decimal('1'), '00063-04': Decimal('1'), '00061-03': Decimal('1'), '00025-05': Decimal('1'), '00061-05': Decimal('1'), '00008-12': Decimal('1'), '00045-03': Decimal('1'), '00043-12': Decimal('1'), '00026-01': Decimal('1'), '00060-01': Decimal('1')}"
Detailed,"{'00044-03': Decimal('1'), '00045-06': Decimal('1'), '00001-08': Decimal('1'), '00045-09': Decimal('1'), '00002-05': Decimal('1'), '00015-04': Decimal('1'), '00079-06': Decimal('2'), '00055-02': Decimal('1'), '00009-07': Decimal('1'), '00078-11': Decimal('1'), '00007-02': Decimal('1'), '00057-08': Decimal('1'), '00049-10': Decimal('1'), '00061-08': Decimal('1'), '00023-11': Decimal('1'), '00009-10': Decimal('1'), '00047-01': Decimal('1'), '00080-08': Decimal('1'), '00062-05': Decimal('1'), '00008-01': Decimal('1'), '00045-03': Decimal('1')}"
Smokey,"{'00022-07': Decimal('1'), '00013-01': Decimal('1'), '00013-12': Decimal('1'), '00056-10': Decimal('1'), '00054-05': Decimal('1'), '00056-01': Decimal('1'), '00015-12': Decimal('1'), '00076-04': Decimal('1'), '00032-04': Decimal('1'), '00079-04': Decimal('1'), '00037-07': Decimal('1'), '00049-02': Decimal('1'), '00041-12': Decimal('1'), '00024-11': Decimal('1'), '00029-02': Decimal('1')}"
Fat,"{'00047-09': Decimal('1'), '00018-04': Decimal('2'), '00022-09': Decimal('1'), '00074-08': Decimal('1'), '00039-10': Decimal('1'), '00020-07': Decimal('1'), '00002-06': Decimal('1'), '00071-09': Decimal('1'), '00074-02': Decimal('1'), '00055-08': Decimal('1'), '00056-12': Decimal('1'), '00018-11': Decimal('1'), '00033-03': Decimal('1'), '00058-09': Decimal('1'), '00011-09': Decimal('1'), '00003-02': Decimal('1'), '00013-06': Decimal('1'), '00061-03': Decimal('1'), '00028-03': Decimal('1'), '00060-03': Decimal('1'), '00044-02': Decimal('1'), '00023-10': Decimal('1')}"
Mellow,"{'00016-10': Decimal('1'), '00023-04': Decimal('1'), '00025-08': Decimal('1'), '00053-06': Decimal('1'), '00003-10': Decimal('1'), '00034-05': Decimal('1'), '00080-10': Decimal('1'), '00055-10': Decimal('1'), '00032-03': Decimal('1'), '00028-08': Decimal('1'), '00064-08': Decimal('1'), '00065-08': Decimal('1'), '00001-10': Decimal('1'), '00040-01': Decimal('1'), '00063-02': Decimal('1'), '00047-02': Decimal('1'), '00027-01': Decimal('1')}"
Strained,"{'00065-12': Decimal('1'), '00022-09': Decimal('1'), '00026-08': Decimal('1'), '00046-09': Decimal('1'), '00036-04': Decimal('1'), '00011-02': Decimal('1'), '00059-04': Decimal('1'), '00050-01': Decimal('1'), '00019-12': Decimal('1'), '00038-03': Decimal('1'), '00015-07': Decimal('1'), '00022-10': Decimal('1'), '00064-08': Decimal('1'), '00080-08': Decimal('1'), '00046-12': Decimal('1'), '00008-11': Decimal('1'), '00048-03': Decimal('1')}"
Rich,"{'00022-08': Decimal('1'), '00073-09': Decimal('1'), '00070-07': Decimal('1'), '00043-04': Decimal('1'), '00048-08': Decimal('1'), '00022-03': Decimal('1'), '00052-09': Decimal('1'), '00020-05': Decimal('1'), '00038-04': Decimal('1'), '00077-09': Decimal('1'), '00074-11': Decimal('1'), '00074-06': Decimal('1'), '00032-12': Decimal('1'), '00059-03': Decimal('1'), '00032-10': Decimal('1'), '00030-12': Decimal('1'), '00055-12': Decimal('1'), '00038-08': Decimal('1'), '00013-07': Decimal('1'), '00025-03': Decimal('1'), '00024-10': Decimal('1')}"
Heavy,"{'00067-12': Decimal('1'), '00020-08': Decimal('1'), '00059-11': Decimal('1'), '00077-09': Decimal('1'), '00010-12': Decimal('1'), '00020-09': Decimal('1'), '00070-12': Decimal('1'), '00073-04': Decimal('1'), '00033-11': Decimal('1'), '00029-12': Decimal('1'), '00032-02': Decimal('1'), '00057-08': Decimal('1'), '00061-07': Decimal('1'), '00022-10': Decimal('1'), '00046-11': Decimal('1'), '00023-03': Decimal('1'), '00043-10': Decimal('1'), '00009-02': Decimal('1'), '00024-11': Decimal('1'), '00060-01': Decimal('1'), '00009-11': Decimal('1')}"
Fizzy,"{'00042-02': Decimal('1'), '00010-10': Decimal('1'), '00004-09': Decimal('1'), '00073-05': Decimal('1'), '00015-01': Decimal('1'), '00053-12': Decimal('1'), '00073-03': Decimal('1'), '00018-12': Decimal('1'), '00038-03': Decimal('1'), '00007-04': Decimal('1'), '00054-10': Decimal('1'), '00024-02': Decimal('1'), '00060-03': Decimal('1'), '00026-02': Decimal('1'), '00068-05': Decimal('1'), '00066-01': Decimal('1'), '00070-05': Decimal('1'), '00068-03': Decimal('1'), '00020-02': Decimal('1'), '00045-06': Decimal('1'), '00039-06': Decimal('1'), '00053-07': Decimal('1'), '00073-12': Decimal('1'), '00074-01': Decimal('1'), '00057-12': Decimal('1'), '00070-01': Decimal('1'), '00030-10': Decimal('1'), '00072-02': Decimal('1'), '00058-04': Decimal('1'), '00039-03': Decimal('1'), '00029-01': Decimal('1'), '00003-11': Decimal('1'), '00079-03': Decimal('1'), '00008-04': Decimal('1'), '00004-03': Decimal('1'), '00061-07': Decimal('1'), '00030-07': Decimal('1'), '00030-06': Decimal('1'), '00034-08': Decimal('1'), '00065-07': Decimal('1'), '00002-02': Decimal('1'), '00049-12': Decimal('1'), '00045-12': Decimal('1')}"
Flat,"{'00048-09': Decimal('1'), '00050-06': Decimal('1'), '00002-06': Decimal('1'), '00036-04': Decimal('1'), '00059-01': Decimal('1'), '00077-05': Decimal('1'), '00004-10': Decimal('1'), '00054-11': Decimal('1'), '00005-02': Decimal('1'), '00007-08': Decimal('1'), '00068-08': Decimal('1'), '00040-11': Decimal('1'), '00045-02': Decimal('1'), '00072-08': Decimal('1'), '00068-03': Decimal('1'), '00024-08': Decimal('1'), '00053-07': Decimal('1'), '00051-03': Decimal('1'), '00039-05': Decimal('1'), '00055-08': Decimal('1'), '00055-07': Decimal('1'), '00014-03': Decimal('1'), '00053-01': Decimal('1'), '00015-11': Decimal('1'), '00074-04': Decimal('1'), '00005-12': Decimal('1'), '00008-03': Decimal('1'), '00040-08': Decimal('1'), '00025-02': Decimal('1')}"
Crisp,"{'00071-05': Decimal('1'), '00042-03': Decimal('1'), '00065-01': Decimal('1'), '00021-08': Decimal('1'), '00036-02': Decimal('1'), '00010-11': Decimal('1'), '00073-05': Decimal('1'), '00007-05': Decimal('1'), '00049-03': Decimal('1'), '00063-12': Decimal('1'), '00026-02': Decimal('1'), '00061-12': Decimal('1'), '00072-08': Decimal('1'), '00022-05': Decimal('1'), '00020-06': Decimal('1'), '00005-08': Decimal('1'), '00014-02': Decimal('1'), '00016-03': Decimal('1'), '00039-01': Decimal('1'), '00052-11': Decimal('1'), '00074-05': Decimal('1'), '00006-02': Decimal('1'), '00013-09': Decimal('1'), '00025-03': Decimal('2'), '00029-09': Decimal('1'), '00061-03': Decimal('1'), '00048-01': Decimal('1'), '00064-12': Decimal('1'), '00043-11': Decimal('1')}"
Brutal,"{'00044-04': Decimal('1'), '00066-12': Decimal('1'), '00045-04': Decimal('1'), '00044-03': Decimal('1'), '00071-09': Decimal('1'), '00076-06': Decimal('1'), '00018-10': Decimal('1'), '00057-03': Decimal('1'), '00018-12': Decimal('1'), '00056-09': Decimal('1'), '00061-07': Decimal('1'), '00046-11': Decimal('1'), '00064-08': Decimal('1'), '00026-06': Decimal('1'), '00063-06': Decimal('1')}"
Huge,"{'00047-09': Decimal('1'), '00049-08': Decimal('1'), '00019-08': Decimal('1'), '00021-08': Decimal('1'), '00004-07': Decimal('1'), '00037-04': Decimal('1'), '00015-05': Decimal('1'), '00058-01': Decimal('1'), '00015-12': Decimal('1'), '00055-05': Decimal('1'), '00076-04': Decimal('1'), '00070-02': Decimal('1'), '00054-01': Decimal('1'), '00035-08': Decimal('1'), '00058-09': Decimal('1'), '00057-08': Decimal('2'), '00056-08': Decimal('1'), '00031-08': Decimal('1'), '00046-11': Decimal('1'), '00048-12': Decimal('1'), '00029-04': Decimal('1')}"
Raspy,"{'00044-04': Decimal('1'), '00042-01': Decimal('1'), '00064-11': Decimal('1'), '00046-06': Decimal('1'), '00026-07': Decimal('1'), '00005-09': Decimal('1'), '00074-01': Decimal('1'), '00054-07': Decimal('1'), '00077-09': Decimal('1'), '00056-12': Decimal('1'), '00005-05': Decimal('1'), '00010-03': Decimal('1'), '00005-04': Decimal('1'), '00010-05': Decimal('1'), '00041-05': Decimal('1'), '00002-01': Decimal('1'), '00024-03': Decimal('1'), '00001-10': Decimal('1')}"
Chunky,"{'00023-08': Decimal('1'), '00048-08': Decimal('1'), '00002-06': Decimal('1'), '00018-10': Decimal('1'), '00012-10': Decimal('1'), '00053-12': Decimal('1'), '00057-03': Decimal('1'), '00030-11': Decimal('1'), '00012-08': Decimal('1'), '00035-05': Decimal('1'), '00062-08': Decimal('1'), '00060-09': Decimal('1'), '00028-08': Decimal('1'), '00048-10': Decimal('1'), '00041-02': Decimal('1'), '00043-07': Decimal('1'), '00026-09': Decimal('1'), '00055-09': Decimal('1'), '00020-09': Decimal('1'), '00074-05': Decimal('1'), '00005-11': Decimal('1'), '00031-12': Decimal('1'), '00022-10': Decimal('1'), '00060-11': Decimal('1'), '00002-03': Decimal('1'), '00047-10': Decimal('1'), '00048-06': Decimal('1')}"
Muted,"{'00021-05': Decimal('1'), '00069-03': Decimal('1'), '00021-07': Decimal('1'), '00070-10': Decimal('1'), '00050-04': Decimal('1'), '00075-08': Decimal('1'), '00051-11': Decimal('1'), '00070-11': Decimal('1'), '00018-11': Decimal('1'), '00053-12': Decimal('1'), '00033-11': Decimal('1'), '00009-06': Decimal('1'), '00079-11': Decimal('1'), '00037-09': Decimal('1'), '00046-12': Decimal('1'), '00060-01': Decimal('1'), '00045-06': Decimal('1'), '00051-07': Decimal('1'), '00053-07': Decimal('1'), '00014-04': Decimal('1'), '00051-03': Decimal('1'), '00055-08': Decimal('1'), '00003-08': Decimal('1'), '00078-12': Decimal('1'), '00057-06': Decimal('1'), '00063-09': Decimal('1'), '00011-03': Decimal('1'), '00022-12': Decimal('1'), '00001-10': Decimal('1'), '00065-03': Decimal('1'), '00007-12': Decimal('1'), '00048-05': Decimal('1')}"
Crushing,"{'00044-04': Decimal('1'), '00051-08': Decimal('1'), '00054-09': Decimal('1'), '00003-06': Decimal('1'), '00016-06': Decimal('2'), '00004-08': Decimal('1'), '00077-03': Decimal('1'), '00058-05': Decimal('1'), '00054-12': Decimal('1'), '00003-10': Decimal('1'), '00034-05': Decimal('1'), '00032-02': Decimal('1'), '00008-04': Decimal('1'), '00003-12': Decimal('1'), '00032-06': Decimal('1'), '00046-11': Decimal('1'), '00065-06': Decimal('1'), '00064-08': Decimal('1'), '00022-12': Decimal('1'), '00040-04': Decimal('1'), '00027-03': Decimal('1'), '00020-10': Decimal('1')}"
Brittle,"{'00044-04': Decimal('1'), '00019-03': Decimal('1'), '00042-04': Decimal('1'), '00002-07': Decimal('1'), '00013-01': Decimal('1'), '00036-05': Decimal('1'), '00038-01': Decimal('1'), '00015-01': Decimal('1'), '00077-06': Decimal('1'), '00007-05': Decimal('1'), '00029-11': Decimal('1'), '00060-05': Decimal('1'), '00005-04': Decimal('1'), '00007-06': Decimal('1'), '00001-01': Decimal('1'), '00046-12': Decimal('1'), '00066-01': Decimal('1'), '00072-08': Decimal('1'), '00043-04': Decimal('1'), '00072-07': Decimal('1'), '00022-05': Decimal('1'), '00018-08': Decimal('1'), '00020-09': Decimal('1'), '00058-02': Decimal('1'), '00016-02': Decimal('1'), '00037-02': Decimal('1'), '00055-03': Decimal('1'), '00057-06': Decimal('1'), '00013-08': Decimal('1'), '00030-07': Decimal('1'), '00025-02': Decimal('1'), '00021-01': Decimal('1'), '00027-03': Decimal('1'), '00063-03': Decimal('1')}"
Clean,"{'00044-04': Decimal('1'), '00017-07': Decimal('1'), '00042-08': Decimal('1'), '00013-01': Decimal('1'), '00036-04': Decimal('1'), '00036-05': Decimal('1'), '00059-01': Decimal('1'), '00033-12': Decimal('2'), '00056-12': Decimal('1'), '00034-01': Decimal('1'), '00007-02': Decimal('1'), '00003-01': Decimal('1'), '00062-07': Decimal('1'), '00012-07': Decimal('1'), '00060-09': Decimal('1'), '00020-03': Decimal('1'), '00070-07': Decimal('1'), '00068-02': Decimal('1'), '00068-01': Decimal('1'), '00024-07': Decimal('1'), '00014-03': Decimal('1'), '00035-04': Decimal('1'), '00053-04': Decimal('1'), '00032-07': Decimal('1'), '00025-03': Decimal('1'), '00009-10': Decimal('1'), '00049-11': Decimal('1')}"
Noisy,"{'00023-05': Decimal('1'), '00015-01': Decimal('1'), '00077-10': Decimal('1'), '00078-03': Decimal('1'), '00005-05': Decimal('1'), '00079-11': Decimal('1'), '00062-09': Decimal('1'), '00062-03': Decimal('1'), '00028-08': Decimal('1'), '00066-06': Decimal('1'), '00045-02': Decimal('1'), '00066-01': Decimal('1'), '00024-09': Decimal('1'), '00020-02': Decimal('1'), '00018-04': Decimal('1'), '00045-09': Decimal('1'), '00037-03': Decimal('1'), '00020-09': Decimal('1'), '00030-10': Decimal('1'), '00059-09': Decimal('1'), '00002-01': Decimal('1'), '00008-01': Decimal('1'), '00020-10': Decimal('1'), '00026-12': Decimal('1')}"
Muddy,"{'00039-10': Decimal('1'), '00017-06': Decimal('1'), '00054-09': Decimal('1'), '00035-11': Decimal('1'), '00075-03': Decimal('1'), '00059-02': Decimal('1'), '00037-10': Decimal('1'), '00077-05': Decimal('1'), '00057-04': Decimal('1'), '00077-06': Decimal('1'), '00006-12': Decimal('1'), '00037-09': Decimal('1'), '00005-06': Decimal('1'), '00066-08': Decimal('1'), '00041-02': Decimal('1'), '00062-02': Decimal('1'), '00065-12': Decimal('1'), '00001-09': Decimal('1'), '00065-11': Decimal('1'), '00074-08': Decimal('1'), '00022-04': Decimal('1'), '00073-12': Decimal('1'), '00053-04': Decimal('1'), '00013-11': Decimal('1'), '00003-10': Decimal('1'), '00013-05': Decimal('1'), '00078-10': Decimal('1'), '00025-02': Decimal('1'), '00022-12': Decimal('1'), '00065-03': Decimal('1')}"
Dynamic,"{'00044-03': Decimal('1'), '00071-08': Decimal('1'), '00052-05': Decimal('1'), '00033-12': Decimal('1'), '00034-01': Decimal('1'), '00037-12': Decimal('1'), '00007-05': Decimal('1'), '00007-02': Decimal('1'), '00009-04': Decimal('1'), '00003-01': Decimal('2'), '00078-02': Decimal('1'), '00023-12': Decimal('1'), '00002-11': Decimal('1'), '00041-02': Decimal('1'), '00024-05': Decimal('1'), '00039-06': Decimal('1'), '00016-05': Decimal('1'), '00036-10': Decimal('1'), '00015-10': Decimal('1'), '00013-07': Decimal('1'), '00032-07': Decimal('1'), '00065-09': Decimal('1'), '00001-10': Decimal('1'), '00048-05': Decimal('1')}"
Sweet,"{'00029-12': Decimal('1'), '00067-02': Decimal('1'), '00018-04': Decimal('1'), '00020-02': Decimal('1'), '00044-08': Decimal('1'), '00022-05': Decimal('1'), '00049-03': Decimal('1'), '00078-08': Decimal('1'), '00058-01': Decimal('1'), '00059-01': Decimal('1'), '00079-06': Decimal('1'), '00038-02': Decimal('1')}"
Velvety,"{'00072-08': Decimal('1'), '00043-04': Decimal('1'), '00003-07': Decimal('1'), '00072-04': Decimal('1'), '00051-10': Decimal('1'), '00055-02': Decimal('1'), '00029-01': Decimal('1'), '00060-08': Decimal('1'), '00034-07': Decimal('1'), '00059-07': Decimal('1'), '00080-12': Decimal('1'), '00079-04': Decimal('1'), '00033-09': Decimal('1'), '00012-07': Decimal('1'), '00005-06': Decimal('1'), '00009-10': Decimal('1'), '00024-03': Decimal('1'), '00069-08': Decimal('1'), '00062-12': Decimal('1'), '00069-06': Decimal('1'), '00063-03': Decimal('1')}"
Liquidy,"{'00044-03': Decimal('1'), '00072-11': Decimal('1'), '00051-03': Decimal('2'), '00073-04': Decimal('1'), '00057-04': Decimal('1'), '00060-07': Decimal('1'), '00031-04': Decimal('1'), '00007-03': Decimal('1'), '00039-09': Decimal('1'), '00032-06': Decimal('1'), '00026-03': Decimal('1'), '00064-08': Decimal('1'), '00027-02': Decimal('1'), '00047-04': Decimal('1')}"
Nasal,"{'00021-05': Decimal('1'), '00042-01': Decimal('1'), '00019-07': Decimal('1'), '00010-10': Decimal('1'), '00036-04': Decimal('1'), '00050-04': Decimal('1'), '00036-05': Decimal('1'), '00075-08': Decimal('1'), '00038-01': Decimal('1'), '00016-12': Decimal('1'), '00030-12': Decimal('1'), '00035-07': Decimal('1'), '00078-03': Decimal('1'), '00078-02': Decimal('1'), '00079-11': Decimal('1'), '00026-03': Decimal('1'), '00024-04': Decimal('1'), '00008-10': Decimal('1'), '00045-03': Decimal('1'), '00045-02': Decimal('1'), '00018-09': Decimal('1'), '00051-03': Decimal('1'), '00032-11': Decimal('1'), '00013-10': Decimal('1'), '00078-04': Decimal('1'), '00030-10': Decimal('1'), '00008-04': Decimal('1'), '00036-06': Decimal('1'), '00006-07': Decimal('1'), '00027-06': Decimal('1'), '00063-04': Decimal('1'), '00061-03': Decimal('1'), '00063-05': Decimal('1'), '00026-11': Decimal('1'), '00001-10': Decimal('1'), '00028-12': Decimal('1')}"
